CODGEO;POPU;MEDECINS
01001;780,0;0,00
01002;234,0;0,00
01004;13839,0;112,00
01005;1600,0;4,00
01006;112,0;0,00
01007;2365,0;5,00
01008;734,0;0,00
01009;339,0;0,00
01010;1031,0;0,00
01011;374,0;0,00
01012;306,0;0,00
01013;162,0;0,00
01014;3458,0;5,00
01015;484,0;0,00
01016;405,0;0,00
01017;421,0;0,00
01019;20,0;0,00
01021;1374,0;3,00
01022;1140,0;13,00
01023;73,0;0,00
01024;3023,0;9,00
01025;3114,0;1,00
01026;786,0;3,00
01027;2498,0;2,00
01028;567,0;0,00
01029;650,0;0,00
01030;867,0;0,00
01031;3590,0;10,00
01032;3040,0;10,00
01033;11630,0;64,00
01034;8761,0;61,00
01035;323,0;0,00
01036;527,0;0,00
01037;273,0;0,00
01038;714,0;0,00
01039;401,0;0,00
01040;446,0;0,00
01041;731,0;0,00
01042;247,0;0,00
01043;4471,0;26,00
01044;516,0;0,00
01045;251,0;0,00
01046;807,0;0,00
01047;907,0;0,00
01049;2908,0;15,00
01050;292,0;0,00
01051;92,0;0,00
01052;309,0;0,00
01053;39882,0;243,00
01054;1201,0;0,00
01056;339,0;1,00
01057;498,0;0,00
01058;862,0;1,00
01059;92,0;0,00
01060;543,0;1,00
01061;1184,0;0,00
01062;742,0;0,00
01063;522,0;2,00
01064;902,0;0,00
01065;1694,0;3,00
01066;74,0;0,00
01067;261,0;0,00
01068;741,0;0,00
01069;1447,0;1,00
01071;4167,0;8,00
01072;2838,0;8,00
01073;954,0;0,00
01074;2365,0;9,00
01075;1156,0;2,00
01076;133,0;0,00
01077;175,0;0,00
01078;1268,0;0,00
01079;771,0;4,00
01080;465,0;0,00
01081;676,0;2,00
01082;627,0;0,00
01083;810,0;0,00
01084;713,0;0,00
01085;357,0;0,00
01087;289,0;0,00
01088;913,0;1,00
01089;1830,0;0,00
01090;352,0;0,00
01091;3134,0;6,00
01092;1583,0;1,00
01093;4940,0;30,00
01094;697,0;0,00
01095;638,0;3,00
01096;943,0;0,00
01097;209,0;0,00
01098;775,0;0,00
01099;1520,0;2,00
01100;159,0;0,00
01101;160,0;0,00
01102;938,0;0,00
01103;1269,0;0,00
01104;449,0;0,00
01105;1347,0;2,00
01106;172,0;0,00
01107;137,0;0,00
01108;1160,0;7,00
01109;1979,0;9,00
01110;112,0;0,00
01111;102,0;0,00
01112;406,0;0,00
01113;763,0;0,00
01114;539,0;0,00
01115;1200,0;0,00
01116;538,0;0,00
01117;144,0;0,00
01118;1190,0;0,00
01119;248,0;0,00
01121;121,0;0,00
01122;828,0;0,00
01123;1064,0;2,00
01124;644,0;0,00
01125;612,0;1,00
01127;507,0;0,00
01128;275,0;0,00
01129;266,0;0,00
01130;1307,0;0,00
01133;376,0;0,00
01134;1722,0;0,00
01135;1913,0;0,00
01136;828,0;0,00
01138;2924,0;12,00
01139;454,0;0,00
01140;714,0;0,00
01141;410,0;1,00
01142;4183,0;8,00
01143;8388,0;45,00
01144;857,0;0,00
01145;1210,0;0,00
01146;391,0;0,00
01147;469,0;0,00
01148;1934,0;2,00
01149;983,0;0,00
01150;211,0;0,00
01151;1144,0;0,00
01152;770,0;0,00
01153;1722,0;0,00
01154;800,0;0,00
01155;143,0;1,00
01156;712,0;0,00
01157;2175,0;7,00
01158;901,0;0,00
01159;3108,0;9,00
01160;8452,0;71,00
01162;66,0;0,00
01163;1961,0;3,00
01165;1370,0;0,00
01166;1974,0;1,00
01167;660,0;0,00
01169;605,0;0,00
01170;950,0;0,00
01171;912,0;0,00
01172;146,0;0,00
01173;10446,0;21,00
01174;166,0;0,00
01175;802,0;0,00
01176;108,0;0,00
01177;167,0;0,00
01179;1913,0;3,00
01180;775,0;0,00
01181;1153,0;0,00
01182;352,0;1,00
01183;1341,0;1,00
01184;791,0;0,00
01185;3971,0;21,00
01186;83,0;0,00
01187;299,0;0,00
01188;572,0;0,00
01189;1102,0;0,00
01190;116,0;0,00
01191;166,0;0,00
01192;2294,0;3,00
01193;201,0;0,00
01194;6044,0;31,00
01195;1622,0;2,00
01196;1076,0;0,00
01197;332,0;0,00
01198;237,0;0,00
01199;2124,0;7,00
01200;204,0;0,00
01202;6785,0;29,00
01203;1148,0;0,00
01204;248,0;0,00
01205;1046,0;0,00
01206;260,0;0,00
01207;295,0;0,00
01208;151,0;0,00
01209;577,0;0,00
01210;227,0;2,00
01211;1357,0;6,00
01212;690,0;0,00
01213;1265,0;0,00
01214;152,0;0,00
01215;56,0;0,00
01216;872,0;1,00
01218;93,0;0,00
01219;148,0;0,00
01221;125,0;0,00
01224;2825,0;9,00
01225;392,0;0,00
01227;434,0;0,00
01228;670,0;3,00
01229;1018,0;1,00
01230;295,0;0,00
01231;1932,0;5,00
01232;2185,0;8,00
01233;124,0;0,00
01234;148,0;0,00
01235;931,0;1,00
01236;1020,0;0,00
01237;1595,0;3,00
01238;2416,0;5,00
01239;625,0;0,00
01240;652,0;0,00
01241;1282,0;1,00
01242;134,0;0,00
01243;1207,0;0,00
01244;7253,0;37,00
01245;832,0;0,00
01246;2090,0;8,00
01247;377,0;0,00
