Année;Région;Position
2007;Pays de la Loire;1
2007;Centre;2
2007;Bretagne;3
2007;Poitou-Charentes;4
2007;Aquitaine;5
2007;Lorraine;5
2007;Champagne-Ardenne;7
2007;Midi-Pyrénées;7
2007;Nord-Pas-de-Calais;7
2007;Provence-Alpes-Côte-d'Azur;7
2007;Picardie;7
2007;Rhône-Alpes;7
2007;Basse-Normandie;13
2007;Languedoc-Roussillon;13
2007;Limousin;13
2007;Alsace;16
2007;Auvergne;16
2007;Bourgogne;16
2007;DOM-TOM;16
2007;Franche-Comté;16
2007;Haute-Normandie;16
2007;Ile-de-France;16
2007;Corse;16
2009;Pays de la Loire;1
2009;Aquitaine;2
2009;Alsace;3
2009;Ile-de-France;3
2009;Picardie;3
2009;Lorraine;6
2009;Nord-Pas-de-Calais;6
2009;Provence-Alpes-Côte-d'Azur;6
2009;Bretagne;9
2009;Centre;9
2009;Poitou-Charentes;9
2009;Rhône-Alpes;9
2009;Auvergne;13
2009;Basse-Normandie;13
2009;Champagne-Ardenne;13
2009;Franche-Comté;13
2009;Bourgogne;17
2009;DOM-TOM;17
2009;Haute-Normandie;17
2009;Languedoc-Roussillon;17
2009;Limousin;17
2009;Midi-Pyrénées;17
2009;Corse;17
2011;Pays de la Loire;1
2011;Ile-de-France;2
2011;Midi-Pyrénées;2
2011;Picardie;4
2011;Rhône-Alpes;4
2011;Alsace;6
2011;Aquitaine;7
2011;Basse-Normandie;7
2011;Centre;7
2011;Champagne-Ardenne;7
2011;Franche-Comté;7
2011;Languedoc-Roussillon;7
2011;Limousin;7
2011;Lorraine;7
2011;Nord-Pas-de-Calais;7
2011;Provence-Alpes-Côte-d'Azur;7
2011;Auvergne;17
2011;Bretagne;17
2011;Bourgogne;19
2011;DOM-TOM;19
2011;Haute-Normandie;19
2011;Poitou-Charentes;19
2011;Corse;19
2013;Pays de la Loire;1
2013;Aquitaine;2
2013;Basse-Normandie;3
2013;Centre;4
2013;Nord-Pas-de-Calais;4
2013;Alsace;6
2013;Champagne-Ardenne;6
2013;Ile-de-France;6
2013;Languedoc-Roussillon;9
2013;Midi-Pyrénées;9
2013;Provence-Alpes-Côte-d'Azur;9
2013;Rhône-Alpes;9
2013;Bretagne;13
2013;DOM-TOM;13
2013;Franche-Comté;13
2013;Limousin;13
2013;Auvergne;17
2013;Bourgogne;17
2013;Corse;17
2013;Haute-Normandie;17
2013;Lorraine;17
2013;Picardie;17
2013;Poitou-Charentes;17
